"","plot_ID","tree_ID","species","DBH_cm","status","height_m","decay_class","to.be.cut","notes.x","harvest_status","gap_status","date","site_name","measured_by","tallied_by","entered_by","notes.y","Property","Stand_name","ASH_stump_DBH","BA_sqm","diam_in","height_ft","stump_DBH_in","stump_DBH_cm"
"87","BRSPunh2",3,"ACSA",22.2,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0387075630848798,8.7401622,NA,0,0
"88","BRSPunh2",4,"FRAM",45.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.163312552504212,17.9527656,NA,0,0
"89","BRSPunh2",5,"ACSA",52.3,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.214829174235941,20.5905623,NA,0,0
"90","BRSPunh2",6,"FRAM",18.8,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0277591126871194,7.4015788,NA,0,0
"91","BRSPunh2",7,"FRAM",11.4,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0102070345315132,4.4881914,NA,0,0
"92","BRSPunh2",8,"ACSA",39.3,"stump",0.84,4,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.121303960938572,15.4724493,2.7559056,14.9265095839045,37.9133343431175
"93","BRSPunh2",9,"QURU",45.4,"snag",2.23,2,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.161883127846828,17.8740254,7.3162732,0,0
"94","BRSPunh2",10,"FRAM",46.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.170553923570736,18.3464666,NA,0,0
"95","BRSPunh2",11,"FRAM",16.2,"snag",11,1,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0206119894002026,6.3779562,36.08924,0,0
"96","BRSPunh2",12,"ACRU",17,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0226980069221863,6.692917,NA,0,0
"97","BRSPunh2",13,"FRAM",25.8,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0522792433483878,10.1574858,NA,0,0
"98","BRSPunh2",14,"ACSA",48.4,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.183984232164833,19.0551284,NA,0,0
"99","BRSPunh2",15,"FRAM",34.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0940247265292889,13.6220546,NA,0,0
"100","BRSPunh2",16,"FRAM",49.9,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.195564928084128,19.6456799,NA,0,0
"101","BRSPunh2",17,"FRAM",35.7,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.100098210526841,14.0551257,NA,0,0
"102","BRSPunh2",18,"ACRU",23.4,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0430052618349907,9.2126034,NA,0,0
"103","BRSPunh3",1,"FAGR",13.5,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0143138815279185,5.3149635,NA,0,0
"104","BRSPunh3",2,"BENI",34.1,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0913268838380187,13.4252041,NA,0,0
