"","plot_ID","Stand_name","State","Ownership_cat","Treatment","EAB_present","forest_type","species","small_saplings_tally","large_saplings_tally","all_saplings_tally"
"181","CH231unh2","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","all",4,9,13
"182","CH231unh2","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACSA",2,0,2
"183","CH231unh2","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"184","CH231unh2","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FAGR",0,0,0
"185","CH231unh2","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"186","CH231unh2","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
"187","CH231unh3","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","all",23,10,33
"188","CH231unh3","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACSA",5,1,6
"189","CH231unh3","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"190","CH231unh3","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FAGR",1,0,1
"191","CH231unh3","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACRU",4,0,4
"192","CH231unh3","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","BEAL",2,1,3
"193","CH231unh4","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","all",5,24,29
"194","CH231unh4","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACSA",0,0,0
"195","CH231unh4","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"196","CH231unh4","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FAGR",1,2,3
"197","CH231unh4","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACRU",0,1,1
"198","CH231unh4","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","BEAL",0,16,16
"199","CMSF11unh1","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","all",28,16,44
"200","CMSF11unh1","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACSA",0,2,2
"201","CMSF11unh1","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FRAM",0,0,0
"202","CMSF11unh1","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","FAGR",0,1,1
"203","CMSF11unh1","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","ACRU",0,0,0
"204","CMSF11unh1","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","BEAL",0,0,0
"205","CMSF11unh2","Cardigan Mountain State Forest comp 1 stand 1","NH","public_state","unharvested","yes","NH","all",15,16,31
