"species","age","mapcode"
"betualle","58","1962"
"pinustro","69","1962"
"abiebals","126","1963"
"betualle","121","1963"
"picerube","120","1963"
"acersacc","91","1964"
"acerrubr","52","1965"
"betualle","47","1965"
"fagugran","50","1965"
"prunsero","46","1965"
"betualle","70","1966"
"fagugran","67","1966"
"acersacc","72","1967"
"betualle","71","1967"
"fagugran","66","1967"
"acerrubr","104","1968"
"betualle","74","1968"
"picerube","81","1968"
"tsugcana","110","1968"
"acersacc","129","1969"
"fagugran","104","1969"
"acerrubr","84","1970"
"betualle","81","1970"
"abiebals","74","1971"
"abiebals","66","1972"
"acerrubr","67","1972"
"betupapy","67","1972"
"acerrubr","89","1973"
"betualle","80","1973"
"abiebals","88","1974"
"picerube","101","1974"
"acerrubr","72","1975"
"betualle","58","1975"
"acerrubr","115","1976"
"betualle","69","1976"
"tsugcana","127","1976"
"acerrubr","82","1977"
"betualle","60","1977"
"acerrubr","75","1978"
"acersacc","82","1978"
"betualle","53","1978"
"acersacc","90","1979"
"betualle","81","1979"
"betualle","60","1980"
"fagugran","62","1980"
"acerrubr","66","1981"
"betualle","63","1981"
"acersacc","102","1982"
"fraxamer","98","1982"
"tsugcana","65","1982"
"acerrubr","60","1983"
"betualle","67","1983"
"tsugcana","72","1983"
"acersacc","106","1984"
"betualle","92","1984"
"fagugran","52","1984"
"querrubr","65","1984"
"abiebals","110","1985"
"acersacc","46","1985"
"betualle","120","1985"
"fagugran","114","1985"
"acersacc","16","1986"
"fagugran","27","1986"
"prunsero","19","1986"
"acerrubr","70","1987"
"betualle","65","1987"
"fagugran","65","1987"
"acerrubr","68","1988"
"betualle","87","1988"
"fraxamer","83","1988"
"acersacc","76","1989"
"betualle","40","1989"
"fagugran","47","1989"
"acerrubr","64","1990"
"acersacc","79","1990"
"betualle","77","1990"
"fagugran","51","1990"
"acerrubr","86","1991"
"acersacc","65","1991"
"betualle","62","1991"
"acersacc","73","1992"
"betualle","55","1992"
"fagugran","70","1992"
"acerrubr","94","1993"
"acersacc","74","1993"
"pinustro","86","1993"
"acerrubr","81","1994"
"acersacc","83","1994"
"acerrubr","55","1995"
"fraxamer","70","1995"
"acersacc","62","1996"
"betualle","80","1996"
"fagugran","55","1996"
"acersacc","93","1997"
"acerrubr","79","1998"
"picerube","103","1998"
"tsugcana","58","1998"
"abiebals","80","1999"
"betualle","83","1999"
"acersacc","90","2000"
"betualle","69","2000"
"fagugran","67","2000"
"acersacc","107","2001"
"betualle","102","2001"
"betupapy","78","2001"
"acersacc","73","2002"
"betualle","59","2002"
"fagugran","72","2002"
"acerrubr","84","2003"
"betualle","71","2003"
"fagugran","90","2003"
"picerube","112","2003"
"acersacc","139","2004"
"betualle","92","2004"
"fagugran","116","2004"
"abiebals","91","2005"
"acerrubr","65","2005"
"betualle","57","2005"
"acersacc","57","2006"
"betualle","88","2006"
"fagugran","55","2006"
"acerrubr","106","2007"
"fagugran","77","2007"
"picerube","46","2007"
"querrubr","82","2007"
"abiebals","76","2008"
